pos	int	
50.8496	629.00	
50.8759	631.00	
50.9022	606.00	
50.9284	594.00	
50.9809	640.00	
51.0072	603.00	
51.0597	621.00	
51.0859	632.00	
51.1253	616.00	
51.1647	604.00	
51.1910	602.00	
51.2566	634.00	
51.2960	623.00	
51.3354	651.00	
51.3616	589.00	
51.4010	617.00	
51.4404	604.00	
51.4798	611.00	
51.5060	638.00	
51.5454	615.00	
51.5848	609.00	
51.6111	621.00	
51.6898	595.00	
51.7555	612.00	
51.7817	607.00	
51.8080	612.00	
51.8474	620.00	
51.8736	591.00	
51.8999	621.00	
51.9524	632.00	
51.9786	612.00	
52.0049	595.00	
52.0311	642.00	
52.0574	622.00	
52.0837	634.00	
52.1099	579.00	
52.1362	563.00	
52.1624	581.00	
52.1887	619.00	
52.2543	609.00	
52.2937	643.00	
52.3200	636.00	
52.3462	608.00	
52.3725	599.00	
52.3987	627.00	
52.4250	638.00	
52.4644	615.00	
52.5037	620.00	
52.5431	615.00	
52.5825	629.00	
52.6219	614.00	
52.6482	636.00	
52.7007	600.00	
52.7400	590.00	
52.8057	603.00	
52.8319	586.00	
52.8582	601.00	
52.8976	629.00	
52.9763	645.00	
53.0026	595.00	
53.0289	624.00	
53.0551	629.00	
53.0945	608.00	
53.1208	593.00	
53.1733	623.00	
53.2389	637.00	
53.2783	622.00	
53.3045	628.00	
53.3308	613.00	
53.3571	602.00	
53.3964	585.00	
53.4358	573.00	
53.4621	644.00	
53.5146	588.00	
53.5408	620.00	
53.5671	596.00	
53.6065	598.00	
53.6327	623.00	
53.6721	590.00	
53.6984	576.00	
53.7378	617.00	
53.7903	605.00	
53.8297	598.00	
53.8559	583.00	
53.8953	619.00	
53.9216	620.00	
53.9872	596.00	
54.0134	609.00	
54.0660	624.00	
54.1053	588.00	
54.1579	589.00	
54.1972	596.00	
54.2235	611.00	
54.2629	620.00	
54.2891	617.00	
54.3154	578.00	
54.3416	613.00	
54.3942	616.00	
54.4335	600.00	
54.4598	576.00	
54.4992	613.00	
54.5517	602.00	
54.6042	613.00	
54.6567	602.00	
54.6830	617.00	
54.7223	613.00	
54.7486	644.00	
54.7880	620.00	
54.8405	629.00	
54.8799	603.00	
54.9061	599.00	
54.9324	592.00	
54.9586	584.00	
54.9849	619.00	
55.0243	583.00	
55.0768	621.00	
55.1556	641.00	
55.1949	587.00	
55.2475	634.00	
55.3394	633.00	
55.3787	619.00	
55.4181	588.00	
55.4575	605.00	
55.4969	605.00	
55.5231	596.00	
55.5757	607.00	
55.6413	666.00	
55.6676	618.00	
55.6938	571.00	
55.7332	634.00	
55.7726	604.00	
55.8251	606.00	
55.8645	622.00	
55.9170	612.00	
55.9695	666.00	
55.9957	592.00	
56.0351	612.00	
56.0745	657.00	
56.1402	640.00	
56.1664	628.00	
56.2058	659.00	
56.2320	627.00	
56.2583	662.00	
56.3108	645.00	
56.3371	664.00	
56.3765	675.00	
56.4290	730.00	
56.4815	781.00	
56.5340	843.00	
56.7046	2756.00	
56.7834	1633.00	
56.8097	1688.00	
56.8359	1766.00	
56.9935	798.00	
57.0197	731.00	
57.0591	772.00	
57.1641	652.00	
57.2166	677.00	
57.2823	647.00	
57.3217	662.00	
57.3479	639.00	
57.4136	614.00	
57.4529	606.00	
57.5317	654.00	
57.5711	596.00	
57.5973	595.00	
57.6236	627.00	
57.6630	609.00	
57.7024	610.00	
57.7417	657.00	
57.7811	639.00	
57.8336	591.00	
57.8599	641.00	
57.9124	655.00	
57.9649	613.00	
58.0437	637.00	
58.0831	638.00	
58.1487	637.00	
58.2012	619.00	
58.2537	630.00	
58.3062	604.00	
58.3456	619.00	
58.3719	618.00	
58.4113	620.00	
58.4638	606.00	
58.5032	584.00	
58.5557	638.00	
58.5951	650.00	
58.6344	644.00	
58.6607	614.00	
58.7001	632.00	
58.7263	623.00	
58.7657	603.00	
58.7920	627.00	
58.8576	657.00	
58.8839	676.00	
58.9233	611.00	
58.9758	630.00	
59.0151	635.00	
59.0545	633.00	
59.0808	640.00	
59.1333	657.00	
59.1989	681.00	
59.2383	736.00	
59.2777	720.00	
59.4090	1667.00	
59.5796	1222.00	
59.6584	772.00	
59.6978	674.00	
59.7240	674.00	
59.7897	669.00	
59.8159	628.00	
59.8553	643.00	
59.9078	617.00	
59.9472	648.00	
