pos	int
24.5773	29.00
24.5903	48.00
24.6033	30.00
24.6163	30.00
24.6293	24.00
24.6423	31.00
24.6553	30.00
24.6683	40.00
24.6813	41.00
24.6943	32.00
24.7073	26.00
24.7203	27.00
24.7333	36.00
24.7463	40.00
24.7593	28.00
24.7723	29.00
24.7853	27.00
24.7983	25.00
24.8112	24.00
24.8242	29.00
24.8372	27.00
24.8502	28.00
24.8632	36.00
24.8762	33.00
24.8892	35.00
24.9022	33.00
24.9152	25.00
24.9282	25.00
24.9412	26.00
24.9542	31.00
24.9672	33.00
24.9802	25.00
24.9932	28.00
25.0062	35.00
25.0192	33.00
25.0322	36.00
25.0452	36.00
25.0582	32.00
25.0712	30.00
25.0842	34.00
25.0972	37.00
25.1102	29.00
25.1232	25.00
25.1362	24.00
25.1492	26.00
25.1622	30.00
25.1752	31.00
25.1882	32.00
25.2012	26.00
25.2142	34.00
25.2272	37.00
25.2402	34.00
25.2532	29.00
25.2662	27.00
25.2792	35.00
25.2922	35.00
25.3052	37.00
25.3182	40.00
25.3312	30.00
25.3442	28.00
25.3571	30.00
25.3701	30.00
25.3831	26.00
25.3961	37.00
25.4091	34.00
25.4221	35.00
25.4351	35.00
25.4481	39.00
25.4611	32.00
25.4741	24.00
25.4871	25.00
25.5001	40.00
25.5131	34.00
25.5261	36.00
25.5391	26.00
25.5521	31.00
25.5651	33.00
25.5781	40.00
25.5911	34.00
25.6041	33.00
25.6171	39.00
25.6301	30.00
25.6431	33.00
25.6561	32.00
25.6691	24.00
25.6821	26.00
25.6951	30.00
25.7081	27.00
25.7211	34.00
25.7341	38.00
25.7471	23.00
25.7601	32.00
25.7731	34.00
25.7861	40.00
25.7991	37.00
25.8121	23.00
25.8251	28.00
25.8381	32.00
25.8511	32.00
25.8641	31.00
25.8771	35.00
25.8900	29.00
25.9030	25.00
25.9160	32.00
25.9290	30.00
25.9420	28.00
25.9550	29.00
25.9680	38.00
25.9810	34.00
25.9940	27.00
26.0070	32.00
26.0200	25.00
26.0330	35.00
26.0460	33.00
26.0590	32.00
26.0720	32.00
26.0850	28.00
26.0980	23.00
26.1110	29.00
26.1240	33.00
26.1370	35.00
26.1500	34.00
26.1630	29.00
26.1760	30.00
26.1890	25.00
26.2020	33.00
26.2150	29.00
26.2280	32.00
26.2410	31.00
26.2540	26.00
26.2670	29.00
26.2800	28.00
26.2930	32.00
26.3060	32.00
26.3190	28.00
26.3320	34.00
26.3450	31.00
26.3580	19.00
26.3710	21.00
26.3840	27.00
26.3970	32.00
26.4100	33.00
26.4230	36.00
26.4359	37.00
26.4489	28.00
26.4619	28.00
26.4749	33.00
26.4879	32.00
26.5009	27.00
26.5139	20.00
26.5269	29.00
26.5399	35.00
26.5529	26.00
26.5659	26.00
26.5789	27.00
26.5919	31.00
26.6049	31.00
26.6179	31.00
26.6309	27.00
26.6439	29.00
26.6569	29.00
26.6699	33.00
26.6829	33.00
26.6959	30.00
26.7089	32.00
26.7219	30.00
26.7349	31.00
26.7479	31.00
26.7609	25.00
26.7739	33.00
26.7869	30.00
26.7999	26.00
26.8129	36.00
26.8259	35.00
26.8389	35.00
26.8519	27.00
26.8649	27.00
26.8779	28.00
26.8909	26.00
26.9039	36.00
26.9169	24.00
26.9299	29.00
26.9429	32.00
26.9559	39.00
26.9688	33.00
26.9818	28.00
26.9948	32.00
27.0078	37.00
27.0208	34.00
27.0338	35.00
27.0468	41.00
27.0598	21.00
27.0728	25.00
27.0858	40.00
27.0988	31.00
27.1118	24.00
27.1248	36.00
27.1378	33.00
27.1508	30.00
27.1638	38.00
27.1768	35.00
27.1898	34.00
27.2028	31.00
27.2158	36.00
27.2288	21.00
27.2418	27.00
27.2548	31.00
27.2678	29.00
27.2808	31.00
27.2938	38.00
27.3068	33.00
27.3198	33.00
27.3328	28.00
27.3458	28.00
27.3588	26.00
27.3718	30.00
27.3848	28.00
27.3978	26.00
27.4108	39.00
27.4238	39.00
27.4368	35.00
27.4498	29.00
27.4628	29.00
27.4758	28.00
27.4888	27.00
27.5018	27.00
27.5147	33.00
27.5277	30.00
27.5407	32.00
27.5537	37.00
27.5667	31.00
27.5797	28.00
27.5927	33.00
27.6057	30.00
27.6187	23.00
27.6317	25.00
27.6447	28.00
27.6577	30.00
27.6707	28.00
27.6837	28.00
27.6967	33.00
27.7097	36.00
27.7227	34.00
27.7357	35.00
27.7487	41.00
27.7617	40.00
27.7747	32.00
27.7877	29.00
27.8007	31.00
27.8137	30.00
27.8267	28.00
27.8397	34.00
27.8527	34.00
27.8657	27.00
27.8787	25.00
27.8917	33.00
27.9047	34.00
27.9177	27.00
27.9307	27.00
27.9437	34.00
27.9567	28.00
27.9697	30.00
27.9827	30.00
27.9957	31.00
28.0087	34.00
28.0217	24.00
28.0347	27.00
28.0476	31.00
28.0606	31.00
28.0736	34.00
28.0866	25.00
28.0996	29.00
28.1126	37.00
28.1256	33.00
28.1386	34.00
28.1516	33.00
28.1646	31.00
28.1776	43.00
28.1906	26.00
28.2036	41.00
28.2166	39.00
28.2296	45.00
28.2426	45.00
28.2556	30.00
28.2686	37.00
28.2816	31.00
28.2946	32.00
28.3076	42.00
28.3206	36.00
28.3336	34.00
28.3466	30.00
28.3596	28.00
28.3726	36.00
28.3856	40.00
28.3986	37.00
28.4116	45.00
28.4246	32.00
28.4376	38.00
28.4506	37.00
28.4636	50.00
28.4766	37.00
28.4896	34.00
28.5026	48.00
28.5156	46.00
28.5286	40.00
28.5416	49.00
28.5546	58.00
28.5676	76.00
28.5805	61.00
28.5935	85.00
28.6065	96.00
28.6195	85.00
28.6325	101.00
28.6455	98.00
28.6585	139.00
28.6715	181.00
28.6845	207.00
28.6975	272.00
28.7105	372.00
28.7235	419.00
28.7365	451.00
28.7495	420.00
28.7625	343.00
28.7755	287.00
28.7885	276.00
28.8015	259.00
28.8145	246.00
28.8275	216.00
28.8405	161.00
28.8535	109.00
28.8665	75.00
28.8795	59.00
28.8925	54.00
28.9055	55.00
28.9185	55.00
28.9315	52.00
28.9445	47.00
28.9575	42.00
28.9705	45.00
28.9835	42.00
28.9965	36.00
29.0095	37.00
29.0225	36.00
29.0355	34.00
29.0485	38.00
29.0615	34.00
29.0745	29.00
29.0875	33.00
29.1005	36.00
29.1135	34.00
29.1264	31.00
29.1394	30.00
29.1524	33.00
29.1654	36.00
29.1784	29.00
29.1914	23.00
29.2044	29.00
29.2174	33.00
29.2304	30.00
29.2434	24.00
29.2564	31.00
29.2694	32.00
29.2824	38.00
29.2954	41.00
29.3084	30.00
29.3214	25.00
29.3344	27.00
29.3474	33.00
29.3604	22.00
29.3734	24.00
29.3864	30.00
29.3994	37.00
29.4124	34.00
29.4254	27.00
29.4384	34.00
29.4514	26.00
29.4644	28.00
29.4774	33.00
29.4904	29.00
29.5034	28.00
29.5164	40.00
29.5294	30.00
29.5424	20.00
29.5554	25.00
29.5684	31.00
29.5814	35.00
29.5944	29.00
29.6074	28.00
29.6204	29.00
29.6334	31.00
29.6464	38.00
29.6593	32.00
29.6723	34.00
29.6853	24.00
29.6983	21.00
29.7113	37.00
29.7243	31.00
29.7373	21.00
29.7503	30.00
29.7633	28.00
29.7763	26.00
29.7893	32.00
29.8023	32.00
29.8153	30.00
29.8283	19.00
29.8413	31.00
29.8543	50.00
29.8673	33.00
29.8803	31.00
29.8933	30.00
29.9063	36.00
29.9193	27.00
29.9323	40.00
29.9453	33.00
29.9583	30.00
29.9713	32.00
29.9843	36.00
29.9973	37.00
30.0103	36.00
30.0233	33.00
30.0363	32.00
30.0493	22.00
30.0623	24.00
30.0753	30.00
30.0883	29.00
30.1013	30.00
30.1143	34.00
30.1273	33.00
30.1403	31.00
30.1533	34.00
30.1663	27.00
30.1793	26.00
