XRDML file: ../content/data/xrdml/NASA/BCdT - PT/10Bi(Cd0.5Ti0.5)O3 - 90PbTiO3 - 1100C.xrdml
Package: Scipy
Allowed Error: 0.005
distance  		prominence		recall         		precision      		f1_score       
190       		550       		0.03125        		0.2            		0.05405        
None      		600       		0.09375        		0.3            		0.14286        
190       		600       		0.03125        		0.2            		0.05405        
None      		650       		0.09375        		0.33333        		0.14634        
190       		650       		0.03125        		0.2            		0.05405        
None      		700       		0.09375        		0.33333        		0.14634        
190       		700       		0.03125        		0.2            		0.05405        
None      		750       		0.09375        		0.33333        		0.14634        
190       		750       		0.03125        		0.2            		0.05405        
None      		800       		0.09375        		0.33333        		0.14634        
190       		800       		0.03125        		0.2            		0.05405        
None      		850       		0.09375        		0.33333        		0.14634        
190       		850       		0.03125        		0.2            		0.05405        
None      		900       		0.0625         		0.25           		0.1            
190       		900       		0.03125        		0.2            		0.05405        
None      		950       		0.0625         		0.25           		0.1            
190       		950       		0.03125        		0.2            		0.05405        
None      		1000      		0.0625         		0.25           		0.1            
190       		1000      		0.03125        		0.2            		0.05405        
200       		None      		0.03125        		0.05882        		0.04082        
None      		100       		0.15625        		0.05208        		0.07812        
200       		100       		0.03125        		0.07692        		0.04444        
None      		150       		0.125          		0.12903        		0.12698        
200       		150       		0.03125        		0.1            		0.04762        
None      		200       		0.125          		0.22222        		0.16           
200       		200       		0.03125        		0.125          		0.05           
None      		250       		0.125          		0.26667        		0.17021        
200       		250       		0.03125        		0.14286        		0.05128        
None      		300       		0.09375        		0.23077        		0.13333        
200       		300       		0.03125        		0.14286        		0.05128        
None      		350       		0.09375        		0.25           		0.13636        
200       		350       		0.03125        		0.14286        		0.05128        
None      		400       		0.09375        		0.27273        		0.13953        
200       		400       		0.03125        		0.16667        		0.05263        
None      		450       		0.09375        		0.27273        		0.13953        
200       		450       		0.03125        		0.16667        		0.05263        
None      		500       		0.09375        		0.3            		0.14286        
200       		500       		0.03125        		0.2            		0.05405        
None      		550       		0.09375        		0.3            		0.14286        
200       		550       		0.03125        		0.2            		0.05405        
None      		600       		0.09375        		0.3            		0.14286        
200       		600       		0.03125        		0.2            		0.05405        
None      		650       		0.09375        		0.33333        		0.14634        
200       		650       		0.03125        		0.2            		0.05405        
None      		700       		0.09375        		0.33333        		0.14634        
200       		700       		0.03125        		0.2            		0.05405        
None      		750       		0.09375        		0.33333        		0.14634        
200       		750       		0.03125        		0.2            		0.05405        
None      		800       		0.09375        		0.33333        		0.14634        
200       		800       		0.03125        		0.2            		0.05405        
None      		850       		0.09375        		0.33333        		0.14634        
200       		850       		0.03125        		0.2            		0.05405        
None      		900       		0.0625         		0.25           		0.1            
200       		900       		0.03125        		0.2            		0.05405        
None      		950       		0.0625         		0.25           		0.1            
200       		950       		0.03125        		0.2            		0.05405        
None      		1000      		0.0625         		0.25           		0.1            
200       		1000      		0.03125        		0.2            		0.05405        
210       		None      		0.03125        		0.0625         		0.04167        
None      		100       		0.15625        		0.05208        		0.07812        
210       		100       		0.03125        		0.07143        		0.04348        
None      		150       		0.125          		0.12903        		0.12698        
210       		150       		0.03125        		0.1            		0.04762        
None      		200       		0.125          		0.22222        		0.16           
210       		200       		0.03125        		0.125          		0.05           
None      		250       		0.125          		0.26667        		0.17021        
210       		250       		0.03125        		0.14286        		0.05128        
None      		300       		0.09375        		0.23077        		0.13333        
210       		300       		0.03125        		0.14286        		0.05128        
None      		350       		0.09375        		0.25           		0.13636        
210       		350       		0.03125        		0.14286        		0.05128        
None      		400       		0.09375        		0.27273        		0.13953        
210       		400       		0.03125        		0.16667        		0.05263        
None      		450       		0.09375        		0.27273        		0.13953        
210       		450       		0.03125        		0.16667        		0.05263        
None      		500       		0.09375        		0.3            		0.14286        
210       		500       		0.03125        		0.2            		0.05405        
None      		550       		0.09375        		0.3            		0.14286        
210       		550       		0.03125        		0.2            		0.05405        
None      		600       		0.09375        		0.3            		0.14286        
210       		600       		0.03125        		0.2            		0.05405        
None      		650       		0.09375        		0.33333        		0.14634        
210       		650       		0.03125        		0.2            		0.05405        
None      		700       		0.09375        		0.33333        		0.14634        
210       		700       		0.03125        		0.2            		0.05405        
None      		750       		0.09375        		0.33333        		0.14634        
210       		750       		0.03125        		0.2            		0.05405        
None      		800       		0.09375        		0.33333        		0.14634        
210       		800       		0.03125        		0.2            		0.05405        
None      		850       		0.09375        		0.33333        		0.14634        
210       		850       		0.03125        		0.2            		0.05405        
None      		900       		0.0625         		0.25           		0.1            
210       		900       		0.03125        		0.2            		0.05405        
None      		950       		0.0625         		0.25           		0.1            
210       		950       		0.03125        		0.2            		0.05405        
None      		1000      		0.0625         		0.25           		0.1            
210       		1000      		0.03125        		0.2            		0.05405        
220       		None      		0.03125        		0.0625         		0.04167        
None      		100       		0.15625        		0.05208        		0.07812        
220       		100       		0.03125        		0.07692        		0.04444        
None      		150       		0.125          		0.12903        		0.12698        
220       		150       		0.03125        		0.11111        		0.04878        
None      		200       		0.125          		0.22222        		0.16           
220       		200       		0.03125        		0.14286        		0.05128        
None      		250       		0.125          		0.26667        		0.17021        
220       		250       		0.03125        		0.16667        		0.05263        
None      		300       		0.09375        		0.23077        		0.13333        
220       		300       		0.03125        		0.16667        		0.05263        
None      		350       		0.09375        		0.25           		0.13636        
220       		350       		0.03125        		0.16667        		0.05263        
None      		400       		0.09375        		0.27273        		0.13953        
220       		400       		0.03125        		0.16667        		0.05263        
None      		450       		0.09375        		0.27273        		0.13953        
220       		450       		0.03125        		0.16667        		0.05263        
None      		500       		0.09375        		0.3            		0.14286        
220       		500       		0.03125        		0.2            		0.05405        
None      		550       		0.09375        		0.3            		0.14286        
220       		550       		0.03125        		0.2            		0.05405        
None      		600       		0.09375        		0.3            		0.14286        
220       		600       		0.03125        		0.2            		0.05405        
None      		650       		0.09375        		0.33333        		0.14634        
220       		650       		0.03125        		0.2            		0.05405        
None      		700       		0.09375        		0.33333        		0.14634        
220       		700       		0.03125        		0.2            		0.05405        
None      		750       		0.09375        		0.33333        		0.14634        
220       		750       		0.03125        		0.2            		0.05405        
None      		800       		0.09375        		0.33333        		0.14634        
220       		800       		0.03125        		0.2            		0.05405        
None      		850       		0.09375        		0.33333        		0.14634        
220       		850       		0.03125        		0.2            		0.05405        
None      		900       		0.0625         		0.25           		0.1            
220       		900       		0.03125        		0.2            		0.05405        
None      		950       		0.0625         		0.25           		0.1            
220       		950       		0.03125        		0.2            		0.05405        
None      		1000      		0.0625         		0.25           		0.1            
220       		1000      		0.03125        		0.2            		0.05405        
230       		None      		0.03125        		0.07143        		0.04348        
None      		100       		0.15625        		0.05208        		0.07812        
230       		100       		0.03125        		0.07692        		0.04444        
None      		150       		0.125          		0.12903        		0.12698        
230       		150       		0.03125        		0.11111        		0.04878        
None      		200       		0.125          		0.22222        		0.16           
230       		200       		0.03125        		0.14286        		0.05128        
None      		250       		0.125          		0.26667        		0.17021        
230       		250       		0.03125        		0.16667        		0.05263        
None      		300       		0.09375        		0.23077        		0.13333        
230       		300       		0.03125        		0.16667        		0.05263        
None      		350       		0.09375        		0.25           		0.13636        
230       		350       		0.03125        		0.16667        		0.05263        
None      		400       		0.09375        		0.27273        		0.13953        
230       		400       		0.03125        		0.16667        		0.05263        
None      		450       		0.09375        		0.27273        		0.13953        
230       		450       		0.03125        		0.16667        		0.05263        
None      		500       		0.09375        		0.3            		0.14286        
230       		500       		0.03125        		0.2            		0.05405        
None      		550       		0.09375        		0.3            		0.14286        
230       		550       		0.03125        		0.2            		0.05405        
None      		600       		0.09375        		0.3            		0.14286        
230       		600       		0.03125        		0.2            		0.05405        
None      		650       		0.09375        		0.33333        		0.14634        
230       		650       		0.03125        		0.2            		0.05405        
None      		700       		0.09375        		0.33333        		0.14634        
230       		700       		0.03125        		0.2            		0.05405        
None      		750       		0.09375        		0.33333        		0.14634        
230       		750       		0.03125        		0.2            		0.05405        
None      		800       		0.09375        		0.33333        		0.14634        
230       		800       		0.03125        		0.2            		0.05405        
None      		850       		0.09375        		0.33333        		0.14634        
230       		850       		0.03125        		0.2            		0.05405        
None      		900       		0.0625         		0.25           		0.1            
230       		900       		0.03125        		0.2            		0.05405        
None      		950       		0.0625         		0.25           		0.1            
230       		950       		0.03125        		0.2            		0.05405        
None      		1000      		0.0625         		0.25           		0.1            
230       		1000      		0.03125        		0.2            		0.05405        
240       		None      		0.03125        		0.07692        		0.04444        
None      		100       		0.15625        		0.05208        		0.07812        
240       		100       		0.03125        		0.08333        		0.04545        
None      		150       		0.125          		0.12903        		0.12698        
240       		150       		0.03125        		0.11111        		0.04878        
None      		200       		0.125          		0.22222        		0.16           
240       		200       		0.03125        		0.14286        		0.05128        
None      		250       		0.125          		0.26667        		0.17021        
240       		250       		0.03125        		0.16667        		0.05263        
None      		300       		0.09375        		0.23077        		0.13333        
240       		300       		0.03125        		0.16667        		0.05263        
None      		350       		0.09375        		0.25           		0.13636        
240       		350       		0.03125        		0.16667        		0.05263        
None      		400       		0.09375        		0.27273        		0.13953        
240       		400       		0.03125        		0.16667        		0.05263        
None      		450       		0.09375        		0.27273        		0.13953        
240       		450       		0.03125        		0.16667        		0.05263        
None      		500       		0.09375        		0.3            		0.14286        
240       		500       		0.03125        		0.2            		0.05405        
None      		550       		0.09375        		0.3            		0.14286        
240       		550       		0.03125        		0.2            		0.05405        
None      		600       		0.09375        		0.3            		0.14286        
240       		600       		0.03125        		0.2            		0.05405        
None      		650       		0.09375        		0.33333        		0.14634        
240       		650       		0.03125        		0.2            		0.05405        
None      		700       		0.09375        		0.33333        		0.14634        
240       		700       		0.03125        		0.2            		0.05405        
None      		750       		0.09375        		0.33333        		0.14634        
240       		750       		0.03125        		0.2            		0.05405        
None      		800       		0.09375        		0.33333        		0.14634        
240       		800       		0.03125        		0.2            		0.05405        
None      		850       		0.09375        		0.33333        		0.14634        
