#PWDR MnO2_Unmilled_Air_InitialScan.xrdml Scan 1 Peak List 
#wavelength =   1.540600
#      pos        dsp        esd          int        esd        sig        gam       FWHM
   19.8042    4.47940    0.00000       915.00       0.00    0.00010    0.00000    0.00000 
   19.8567    4.46767    0.00000       967.00       0.00    0.00010    0.00000    0.00000 
   19.9486    4.44729    0.00000       920.00       0.00    0.00010    0.00000    0.00000 
   19.9749    4.44150    0.00000       877.00       0.00    0.00010    0.00000    0.00000 
   20.0143    4.43285    0.00000       927.00       0.00    0.00010    0.00000    0.00000 
   20.0668    4.42137    0.00000       907.00       0.00    0.00010    0.00000    0.00000 
   20.1062    4.41279    0.00000       869.00       0.00    0.00010    0.00000    0.00000 
   20.1324    4.40710    0.00000       858.00       0.00    0.00010    0.00000    0.00000 
   20.1850    4.39575    0.00000       909.00       0.00    0.00010    0.00000    0.00000 
   20.2112    4.39010    0.00000       881.00       0.00    0.00010    0.00000    0.00000 
   20.2375    4.38446    0.00000       923.00       0.00    0.00010    0.00000    0.00000 
   20.2769    4.37603    0.00000       936.00       0.00    0.00010    0.00000    0.00000 
   20.3163    4.36763    0.00000       896.00       0.00    0.00010    0.00000    0.00000 
   20.3425    4.36205    0.00000       872.00       0.00    0.00010    0.00000    0.00000 
   20.3688    4.35649    0.00000       887.00       0.00    0.00010    0.00000    0.00000 
   20.4476    4.33988    0.00000       916.00       0.00    0.00010    0.00000    0.00000 
   20.4870    4.33163    0.00000       860.00       0.00    0.00010    0.00000    0.00000 
   20.5264    4.32340    0.00000       880.00       0.00    0.00010    0.00000    0.00000 
   20.5657    4.31521    0.00000       898.00       0.00    0.00010    0.00000    0.00000 
   20.6183    4.30434    0.00000       899.00       0.00    0.00010    0.00000    0.00000 
   20.6577    4.29622    0.00000       888.00       0.00    0.00010    0.00000    0.00000 
   20.6839    4.29082    0.00000       898.00       0.00    0.00010    0.00000    0.00000 
   20.7233    4.28276    0.00000       873.00       0.00    0.00010    0.00000    0.00000 
   20.7496    4.27739    0.00000       838.00       0.00    0.00010    0.00000    0.00000 
   20.7758    4.27205    0.00000       852.00       0.00    0.00010    0.00000    0.00000 
   20.8152    4.26405    0.00000       833.00       0.00    0.00010    0.00000    0.00000 
   20.8415    4.25874    0.00000       818.00       0.00    0.00010    0.00000    0.00000 
   20.8809    4.25079    0.00000       846.00       0.00    0.00010    0.00000    0.00000 
   20.9203    4.24288    0.00000       895.00       0.00    0.00010    0.00000    0.00000 
   20.9597    4.23499    0.00000       872.00       0.00    0.00010    0.00000    0.00000 
   20.9990    4.22714    0.00000       888.00       0.00    0.00010    0.00000    0.00000 
   21.0647    4.21411    0.00000       894.00       0.00    0.00010    0.00000    0.00000 
   21.1041    4.20633    0.00000       861.00       0.00    0.00010    0.00000    0.00000 
   21.1435    4.19859    0.00000       866.00       0.00    0.00010    0.00000    0.00000 
   21.1697    4.19344    0.00000       837.00       0.00    0.00010    0.00000    0.00000 
   21.1960    4.18830    0.00000       844.00       0.00    0.00010    0.00000    0.00000 
   21.2223    4.18318    0.00000       868.00       0.00    0.00010    0.00000    0.00000 
   21.2748    4.17297    0.00000       862.00       0.00    0.00010    0.00000    0.00000 
   21.3142    4.16535    0.00000       862.00       0.00    0.00010    0.00000    0.00000 
   21.3536    4.15775    0.00000       885.00       0.00    0.00010    0.00000    0.00000 
   21.3798    4.15270    0.00000       858.00       0.00    0.00010    0.00000    0.00000 
   21.4061    4.14767    0.00000       866.00       0.00    0.00010    0.00000    0.00000 
   21.4455    4.14014    0.00000       840.00       0.00    0.00010    0.00000    0.00000 
   21.4980    4.13014    0.00000       850.00       0.00    0.00010    0.00000    0.00000 
   21.5899    4.11277    0.00000       867.00       0.00    0.00010    0.00000    0.00000 
   21.6162    4.10783    0.00000       894.00       0.00    0.00010    0.00000    0.00000 
   21.6687    4.09799    0.00000       853.00       0.00    0.00010    0.00000    0.00000 
   21.7081    4.09065    0.00000       881.00       0.00    0.00010    0.00000    0.00000 
   21.7475    4.08333    0.00000       857.00       0.00    0.00010    0.00000    0.00000 
   21.7869    4.07603    0.00000       829.00       0.00    0.00010    0.00000    0.00000 
   21.8525    4.06393    0.00000       876.00       0.00    0.00010    0.00000    0.00000 
