pos	int
17.9485	17.00
17.9615	23.00
17.9745	18.00
17.9875	12.00
18.0005	15.00
18.0135	17.00
18.0265	15.00
18.0395	20.00
18.0525	22.00
18.0655	18.00
18.0785	26.00
18.0915	17.00
18.1045	23.00
18.1175	23.00
18.1305	23.00
18.1435	14.00
18.1565	8.00
18.1695	19.00
18.1825	17.00
18.1955	16.00
18.2085	22.00
18.2215	17.00
18.2345	21.00
18.2475	21.00
18.2605	23.00
18.2735	17.00
18.2865	21.00
18.2995	20.00
18.3125	20.00
18.3255	19.00
18.3385	16.00
18.3514	19.00
18.3644	19.00
18.3774	21.00
18.3904	23.00
18.4034	17.00
18.4164	15.00
18.4294	16.00
18.4424	18.00
18.4554	23.00
18.4684	21.00
18.4814	14.00
18.4944	19.00
18.5074	28.00
18.5204	28.00
18.5334	27.00
18.5464	26.00
18.5594	22.00
18.5724	17.00
18.5854	17.00
18.5984	20.00
18.6114	17.00
18.6244	13.00
18.6374	17.00
18.6504	13.00
18.6634	12.00
18.6764	17.00
18.6894	16.00
18.7024	20.00
18.7154	19.00
18.7284	16.00
18.7414	18.00
18.7544	23.00
18.7674	22.00
18.7804	15.00
18.7934	11.00
18.8064	13.00
18.8194	17.00
18.8324	24.00
18.8454	19.00
18.8584	14.00
18.8714	18.00
18.8844	13.00
18.8973	13.00
18.9103	19.00
18.9233	8.00
18.9363	13.00
18.9493	15.00
18.9623	12.00
18.9753	16.00
18.9883	21.00
19.0013	11.00
19.0143	14.00
19.0273	15.00
19.0403	20.00
19.0533	22.00
19.0663	13.00
19.0793	16.00
19.0923	16.00
19.1053	18.00
19.1183	15.00
19.1313	25.00
19.1443	27.00
19.1573	22.00
19.1703	25.00
19.1833	22.00
19.1963	19.00
19.2093	14.00
19.2223	23.00
19.2353	19.00
19.2483	18.00
19.2613	17.00
19.2743	21.00
19.2873	16.00
19.3003	15.00
19.3133	12.00
19.3263	16.00
19.3393	17.00
19.3523	9.00
19.3653	9.00
19.3783	18.00
19.3913	17.00
19.4043	18.00
19.4173	25.00
19.4302	27.00
19.4432	18.00
19.4562	18.00
19.4692	21.00
19.4822	17.00
19.4952	18.00
19.5082	21.00
19.5212	23.00
19.5342	23.00
19.5472	17.00
19.5602	14.00
19.5732	15.00
19.5862	11.00
19.5992	10.00
19.6122	15.00
19.6252	18.00
19.6382	14.00
19.6512	16.00
19.6642	20.00
19.6772	17.00
19.6902	14.00
19.7032	12.00
19.7162	11.00
19.7292	17.00
19.7422	21.00
19.7552	22.00
19.7682	22.00
19.7812	15.00
19.7942	18.00
19.8072	20.00
19.8202	17.00
19.8332	17.00
19.8462	14.00
19.8592	15.00
19.8722	19.00
19.8852	24.00
19.8982	23.00
19.9112	14.00
19.9242	12.00
19.9372	14.00
19.9502	11.00
19.9632	12.00
19.9761	13.00
19.9891	11.00
20.0021	16.00
20.0151	21.00
20.0281	22.00
20.0411	20.00
20.0541	19.00
20.0671	20.00
20.0801	18.00
20.0931	14.00
20.1061	14.00
20.1191	21.00
20.1321	19.00
20.1451	14.00
20.1581	19.00
20.1711	28.00
20.1841	23.00
20.1971	13.00
20.2101	15.00
20.2231	14.00
20.2361	14.00
20.2491	17.00
20.2621	12.00
20.2751	19.00
20.2881	25.00
20.3011	15.00
20.3141	21.00
20.3271	24.00
20.3401	19.00
20.3531	14.00
20.3661	13.00
20.3791	15.00
20.3921	18.00
20.4051	13.00
20.4181	22.00
20.4311	24.00
20.4441	14.00
20.4571	24.00
20.4701	22.00
20.4831	20.00
20.4961	14.00
20.5090	24.00
20.5220	21.00
20.5350	20.00
20.5480	15.00
20.5610	11.00
20.5740	24.00
20.5870	18.00
20.6000	22.00
20.6130	18.00
20.6260	12.00
20.6390	19.00
20.6520	21.00
20.6650	18.00
20.6780	22.00
20.6910	13.00
20.7040	17.00
20.7170	20.00
20.7300	19.00
20.7430	17.00
20.7560	11.00
20.7690	17.00
20.7820	15.00
20.7950	13.00
20.8080	14.00
20.8210	19.00
20.8340	12.00
20.8470	12.00
20.8600	13.00
20.8730	18.00
20.8860	21.00
20.8990	23.00
20.9120	27.00
20.9250	23.00
20.9380	16.00
20.9510	14.00
20.9640	18.00
20.9770	23.00
20.9900	16.00
21.0030	14.00
21.0160	16.00
21.0290	18.00
21.0420	19.00
21.0549	16.00
