pos	int	
20.8223	1255.00	
20.8414	1266.00	
20.8604	1276.00	
20.8795	1277.00	
20.8985	1270.00	
20.9176	1308.00	
20.9366	1359.00	
20.9557	1374.00	
20.9747	1358.00	
20.9938	1377.00	
21.0128	1403.00	
21.0319	1480.00	
21.0509	1514.00	
21.0700	1460.00	
21.0890	1488.00	
21.1081	1539.00	
21.1272	1604.00	
21.1462	1644.00	
21.1653	1666.00	
21.1843	1674.00	
21.2034	1804.00	
21.2224	1848.00	
21.2415	1880.00	
21.2605	2002.00	
21.2796	2009.00	
21.2986	1971.00	
21.3177	1965.00	
21.3367	1995.00	
21.3558	1865.00	
21.3748	1839.00	
21.3939	1731.00	
21.4130	1540.00	
21.4320	1431.00	
21.4511	1371.00	
21.4701	1317.00	
21.4892	1276.00	
21.5082	1260.00	
21.5273	1179.00	
21.5463	1207.00	
21.5654	1141.00	
21.5844	1173.00	
21.6035	1180.00	
21.6225	1135.00	
21.6416	1118.00	
21.6606	1178.00	
21.6797	1110.00	
21.6988	1189.00	
21.7178	1116.00	
21.7369	1176.00	
21.7559	1095.00	
21.7750	1127.00	
21.7940	1161.00	
21.8131	1148.00	
21.8321	1082.00	
21.8512	1238.00	
21.8702	1099.00	
21.8893	1151.00	
21.9083	1223.00	
21.9274	1147.00	
21.9464	1150.00	
21.9655	1160.00	
21.9846	1158.00	
22.0036	1102.00	
22.0227	1182.00	
22.0417	1134.00	
22.0608	1217.00	
22.0798	1194.00	
22.0989	1212.00	
22.1179	1175.00	
22.1370	1176.00	
22.1560	1187.00	
22.1751	1140.00	
22.1941	1287.00	
22.2132	1221.00	
22.2322	1224.00	
22.2513	1212.00	
22.2704	1277.00	
22.2894	1253.00	
22.3085	1367.00	
22.3275	1220.00	
22.3466	1278.00	
22.3656	1358.00	
22.3847	1316.00	
22.4037	1424.00	
22.4228	1357.00	
22.4418	1402.00	
22.4609	1449.00	
22.4799	1438.00	
22.4990	1451.00	
22.5180	1500.00	
22.5371	1569.00	
22.5562	1563.00	
22.5752	1555.00	
22.5943	1616.00	
22.6133	1617.00	
22.6324	1708.00	
22.6514	1688.00	
22.6705	1708.00	
22.6895	1791.00	
22.7086	1860.00	
22.7276	1938.00	
22.7467	1972.00	
22.7657	2113.00	
22.7848	2205.00	
22.8038	2171.00	
22.8229	2201.00	
22.8420	2265.00	
22.8610	2381.00	
22.8801	2464.00	
22.8991	2350.00	
22.9182	2418.00	
22.9372	2266.00	
22.9563	2263.00	
22.9753	2162.00	
22.9944	2052.00	
23.0134	1861.00	
23.0325	1758.00	
23.0515	1654.00	
23.0706	1534.00	
23.0896	1506.00	
23.1087	1369.00	
23.1278	1416.00	
23.1468	1317.00	
23.1659	1225.00	
23.1849	1239.00	
23.2040	1227.00	
23.2230	1182.00	
23.2421	1134.00	
23.2611	1078.00	
23.2802	1093.00	
23.2992	1044.00	
23.3183	1119.00	
23.3373	1091.00	
23.3564	1049.00	
23.3754	1005.00	
23.3945	982.00	
23.4136	1033.00	
23.4326	1033.00	
23.4517	956.00	
23.4707	980.00	
23.4898	1052.00	
23.5088	955.00	
23.5279	933.00	
23.5469	953.00	
23.5660	944.00	
23.5850	973.00	
23.6041	967.00	
23.6231	909.00	
23.6422	988.00	
23.6612	964.00	
23.6803	965.00	
23.6994	980.00	
23.7184	946.00	
23.7375	897.00	
23.7565	922.00	
23.7756	969.00	
23.7946	908.00	
23.8137	935.00	
23.8327	1026.00	
23.8518	967.00	
23.8708	900.00	
23.8899	883.00	
23.9089	951.00	
23.9280	942.00	
23.9470	963.00	
23.9661	900.00	
23.9852	915.00	
24.0042	844.00	
24.0233	879.00	
24.0423	827.00	
24.0614	858.00	
24.0804	898.00	
24.0995	937.00	
24.1185	912.00	
24.1376	931.00	
24.1566	854.00	
24.1757	889.00	
24.1947	927.00	
24.2138	906.00	
24.2328	906.00	
24.2519	848.00	
24.2710	865.00	
24.2900	862.00	
24.3091	904.00	
24.3281	898.00	
24.3472	877.00	
24.3662	936.00	
24.3853	870.00	
24.4043	894.00	
24.4234	888.00	
24.4424	851.00	
24.4615	863.00	
24.4805	860.00	
24.4996	863.00	
24.5186	832.00	
24.5377	893.00	
24.5568	920.00	
